density_Group,age_Group,Count
Dense1,Adult,32
Dense1,Adult,222
Dense1,Adult,191
Dense1,Adult,32
Dense1,Adult,247
Dense1,Adult,247
Dense1,Adult,210
Dense1,Adult,23
Dense1,Adult,247
Dense1,Adult,32
Dense1,Adult,247
Dense1,Adult,210
Dense1,Adult,264
Dense1,Adult,18
Dense1,Adult,2
Dense1,Adult,264
Dense1,Adult,32
Dense1,Old,148
Dense1,Old,296
Dense1,Old,191
Dense1,Old,148
Dense1,Old,103
Dense1,Old,222
Dense1,Old,120
Dense1,Old,299
Dense1,Old,84
Dense1,Old,296
Dense1,Old,148
Dense1,Old,247
Dense1,Old,191
Dense1,Old,264
Dense1,Old,296
Dense1,Old,300
Dense1,Old,41
Dense1,Young,249
Dense1,Young,41
Dense1,Young,247
Dense1,Young,4
Dense1,Young,84
Dense1,Young,191
Dense1,Young,191
Dense1,Young,249
Dense1,Young,6
Dense1,Young,27
Dense1,Young,191
Dense1,Young,27
Dense1,Young,18
Dense1,Young,32
Dense1,Young,18
Dense1,Young,11
Dense1,Young,210
Dense2,Adult,829
Dense2,Adult,10
Dense2,Adult,251
Dense2,Adult,800
Dense2,Adult,461
Dense2,Adult,10
Dense2,Adult,251
Dense2,Adult,224
Dense2,Adult,440
Dense2,Adult,800
Dense2,Adult,321
Dense2,Adult,380
Dense2,Adult,1284
Dense2,Adult,5
Dense2,Adult,281
Dense2,Adult,251
Dense2,Adult,247
Dense2,Old,247
Dense2,Old,1284
Dense2,Old,440
Dense2,Old,800
Dense2,Old,1134
Dense2,Old,1134
Dense2,Old,469
Dense2,Old,224
Dense2,Old,948
Dense2,Old,800
Dense2,Old,748
Dense2,Old,884
Dense2,Old,247
Dense2,Old,556
Dense2,Old,215
Dense2,Old,1134
Dense2,Old,469
Dense2,Young,531
Dense2,Young,247
Dense2,Young,829
Dense2,Young,1196
Dense2,Young,47
Dense2,Young,215
Dense2,Young,804
Dense2,Young,453
Dense2,Young,884
Dense2,Young,884
Dense2,Young,1284
Dense2,Young,1196
Dense2,Young,187
Dense2,Young,804
Dense2,Young,453
Dense2,Young,800
Dense2,Young,804
Dense3,Adult,32
Dense3,Adult,32
Dense3,Adult,27
Dense3,Adult,17
Dense3,Adult,125
Dense3,Adult,16
Dense3,Adult,125
Dense3,Adult,32
Dense3,Adult,23
Dense3,Adult,17
Dense3,Adult,110
Dense3,Adult,32
Dense3,Adult,17
Dense3,Adult,15
Dense3,Adult,125
Dense3,Adult,27
Dense3,Adult,178
Dense3,Old,178
Dense3,Old,12
Dense3,Old,32
Dense3,Old,38
Dense3,Old,178
Dense3,Old,61
Dense3,Old,76
Dense3,Old,90
Dense3,Old,56
Dense3,Old,90
Dense3,Old,178
Dense3,Old,132
Dense3,Old,178
Dense3,Old,110
Dense3,Old,178
Dense3,Old,76
Dense3,Old,110
Dense3,Young,1
Dense3,Young,16
Dense3,Young,61
Dense3,Young,125
Dense3,Young,187
Dense3,Young,187
Dense3,Young,16
Dense3,Young,40
Dense3,Young,37
Dense3,Young,178
Dense3,Young,37
Dense3,Young,16
Dense3,Young,3
Dense3,Young,52
Dense3,Young,7
Dense3,Young,29
Dense3,Young,22
Dense4,Adult,7
Dense4,Adult,74
Dense4,Adult,31
Dense4,Adult,249
Dense4,Adult,198
Dense4,Adult,249
Dense4,Adult,74
Dense4,Adult,142
Dense4,Adult,367
Dense4,Adult,91
Dense4,Adult,4
Dense4,Adult,367
Dense4,Adult,249
Dense4,Adult,9
Dense4,Adult,188
Dense4,Adult,146
Dense4,Adult,367
Dense4,Old,140
Dense4,Old,376
Dense4,Old,91
Dense4,Old,198
Dense4,Old,146
Dense4,Old,124
Dense4,Old,180
Dense4,Old,221
Dense4,Old,376
Dense4,Old,93
Dense4,Old,85
Dense4,Old,367
Dense4,Old,102
Dense4,Old,201
Dense4,Old,180
Dense4,Old,93
Dense4,Old,376
Dense4,Young,249
Dense4,Young,68
Dense4,Young,124
Dense4,Young,146
Dense4,Young,146
Dense4,Young,124
Dense4,Young,142
Dense4,Young,91
Dense4,Young,9
Dense4,Young,188
Dense4,Young,74
Dense4,Young,180
Dense4,Young,367
Dense4,Young,124
Dense4,Young,367
Dense4,Young,249
Dense4,Young,188
