Date,State,TotalSamples,Negative,Positive,Sno,Population,Rural population,Urban population,Area,Density,Gender Ratio,density_Group
2020-04-17,Andaman and Nicobar Islands,1403.0,1210.0,13.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-04-24,Andaman and Nicobar Islands,2679.0,,28.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-04-27,Andaman and Nicobar Islands,2848.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-01,Andaman and Nicobar Islands,3754.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-16,Andaman and Nicobar Islands,6677.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-19,Andaman and Nicobar Islands,6965.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-20,Andaman and Nicobar Islands,7082.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-21,Andaman and Nicobar Islands,7167.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-22,Andaman and Nicobar Islands,7263.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-23,Andaman and Nicobar Islands,7327.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-24,Andaman and Nicobar Islands,7327.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-25,Andaman and Nicobar Islands,7363.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-26,Andaman and Nicobar Islands,7448.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-27,Andaman and Nicobar Islands,7499.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-28,Andaman and Nicobar Islands,7519.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-29,Andaman and Nicobar Islands,7567.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-30,Andaman and Nicobar Islands,7567.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-05-31,Andaman and Nicobar Islands,7706.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-01,Andaman and Nicobar Islands,7805.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-02,Andaman and Nicobar Islands,8086.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-03,Andaman and Nicobar Islands,8295.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-04,Andaman and Nicobar Islands,8413.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-05,Andaman and Nicobar Islands,8694.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-06,Andaman and Nicobar Islands,9037.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
2020-06-07,Andaman and Nicobar Islands,9242.0,,34.0,34,380581,237093,143488,"8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876,Dense1
